run,stage,id,true_label,verdict,score,threshold,fired_rules,blocked,action,correct,time_in,time_out,response_time_ms
1,email,gen_legit_016_ict.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.67087596,6614.671800944,0.9249840004486032
1,email,gen_legit_017_bursary.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.671808902,6614.671917567,0.10866499997064238
1,email,gen_legit_018_security.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.671921915,6614.672085792,0.16387699997721938
1,email,gen_legit_019_registrar.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672088984,6614.672175408,0.08642400007374818
1,email,gen_legit_020_examsoffice.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672177653,6614.672253149,0.07549600013589952
1,email,gen_legit_021_scholarship.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672255468,6614.672325771,0.07030300002952572
1,email,gen_legit_022_hostel.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672327941,6614.672398251,0.07031000041024527
1,email,gen_legit_023_vc.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672400312,6614.672472247,0.07193500005087117
1,email,gen_legit_024_timetable.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672474278,6614.672539825,0.06554700030392269
1,email,gen_legit_025_ictupdate.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672546689,6614.672616485,0.0697959994795383
1,email,gen_legit_026_library.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672618534,6614.672682763,0.06422899969038554
1,email,gen_legit_027_survey.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672684786,6614.672757908,0.07312199977604905
1,email,gen_legit_028_convocation.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672759936,6614.672835689,0.0757529996917583
1,email,gen_legit_029_sug.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672837764,6614.672932769,0.09500499982095789
1,email,gen_legit_030_transcript.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.672935263,6614.67300751,0.07224700038932497
1,email,gen_legit_046_ict.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673009568,6614.673093603,0.08403499941778136
1,email,gen_legit_047_bursary.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673095609,6614.673176713,0.0811040008557029
1,email,gen_legit_048_security.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673179004,6614.673261655,0.08265099950222066
1,email,gen_legit_049_registrar.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673271232,6614.673359735,0.08850300037011039
1,email,gen_legit_050_examsoffice.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673365394,6614.673443673,0.07827900026313728
1,email,gen_legit_051_scholarship.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.67344575,6614.673518511,0.07276100041053724
1,email,gen_legit_052_hostel.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673521854,6614.673594712,0.07285799983947072
1,email,gen_legit_053_vc.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673596767,6614.67367193,0.07516299956478179
1,email,gen_legit_054_timetable.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673674048,6614.673743801,0.06975299947953317
1,email,gen_legit_055_ictupdate.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673745855,6614.673818174,0.07231900053739082
1,email,gen_legit_056_library.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673820475,6614.673950833,0.13035800020588795
1,email,gen_legit_057_survey.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.673954001,6614.674033247,0.0792459995864192
1,email,gen_legit_058_convocation.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.674035276,6614.674111127,0.07585100047435844
1,email,gen_legit_059_sug.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.674113144,6614.67418907,0.07592599922645604
1,email,gen_legit_060_transcript.eml,legitimate,LEGITIMATE,0,4,,False,allow,True,6614.674196334,6614.674264295,0.06796100024075713
1,email,gen_phish_001_ict.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,6614.67426641,6614.674327787,0.061376999838103075
1,email,gen_phish_002_bursary.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,6614.674330285,6614.674381918,0.05163300011190586
1,email,gen_phish_003_security.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,6614.674384209,6614.674434316,0.05010699987906264
1,email,gen_phish_004_registrar.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,6614.674436582,6614.674496807,0.060224999288038816
1,email,gen_phish_005_examsoffice.eml,phishing,PHISHING,7,4,E1;E2;E3,True,warn_user,True,6614.674498945,6614.674551329,0.05238399990048492
1,email,gen_phish_006_scholarship.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,6614.67455357,6614.674605833,0.05226299981586635
1,email,gen_phish_007_hostel.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,6614.674608345,6614.674694642,0.086297000052582
1,email,gen_phish_008_vc.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,6614.674696824,6614.674747907,0.05108299956191331
1,email,gen_phish_009_timetable.eml,phishing,PHISHING,5,4,E1;E2,True,warn_user,True,6614.674750106,6614.67481831,0.06820399994467152
1,email,gen_phish_010_ictupdate.eml,phishing,PHISHING,7,4,E1;E2;E3,True,warn_user,True,6614.674827655,6614.674912509,0.08485400030622259
