url,label,note
http://crescentuniversity.edu.ng@crescentuni-verify-1.tk/reset,phishing,generated synthetic sample
http://portal-crescentuni.cf/account,phishing,generated synthetic sample
https://crescent-uni-portal.xyz/docs/view?id=3,phishing,generated synthetic sample
http://login.secure.crescent-id.cf/verify,phishing,generated synthetic sample
http://203.0.113.104:8443/verify,phishing,generated synthetic sample
http://198.51.100.235/login/verify?id=6,phishing,generated synthetic sample
http://crescentuniversity.edu.ng@crescent-uni-verify-7.tk/reset,phishing,generated synthetic sample
http://verify-crescent-uni-verify.work/account,phishing,generated synthetic sample
https://crescentuni-portal.work/docs/view?id=9,phishing,generated synthetic sample
http://login.secure.crescent-id.gq/verify,phishing,generated synthetic sample
http://198.51.100.192:9090/verify,phishing,generated synthetic sample
http://203.0.113.193/login/verify?id=12,phishing,generated synthetic sample
http://crescentuniversity.edu.ng@crescent-uni-verify-13.tk/reset,phishing,generated synthetic sample
http://id-crescentuni-secure.xyz/account,phishing,generated synthetic sample
https://crescent-portal.ga/docs/view?id=15,phishing,generated synthetic sample
http://login.secure.crescent-uni-id.work/verify,phishing,generated synthetic sample
http://198.51.100.222:8080/verify,phishing,generated synthetic sample
http://198.51.100.204/login/verify?id=18,phishing,generated synthetic sample
http://crescentuniversity.edu.ng@crescent-uni-verify-19.tk/reset,phishing,generated synthetic sample
http://id-crescentuni-login.top/account,phishing,generated synthetic sample
https://crescentuni-portal.work/docs/view?id=21,phishing,generated synthetic sample
http://login.secure.crescent-uni-id.gq/verify,phishing,generated synthetic sample
http://198.51.100.176:9090/verify,phishing,generated synthetic sample
http://203.0.113.198/login/verify?id=24,phishing,generated synthetic sample
http://crescentuniversity.edu.ng@crescent-uni-verify-25.tk/reset,phishing,generated synthetic sample
http://secure-crescentuni-portal.top/account,phishing,generated synthetic sample
https://crescent-portal.work/docs/view?id=27,phishing,generated synthetic sample
http://login.secure.crescent-id.gq/verify,phishing,generated synthetic sample
http://198.51.100.131:8080/verify,phishing,generated synthetic sample
http://203.0.113.217/login/verify?id=30,phishing,generated synthetic sample
http://crescentuniversity.edu.ng@crescent-uni-verify-31.tk/reset,phishing,generated synthetic sample
http://id-crescent-uni-verify.ga/account,phishing,generated synthetic sample
https://crescentuni-portal.ga/docs/view?id=33,phishing,generated synthetic sample
http://login.secure.crescent-uni-id.tk/verify,phishing,generated synthetic sample
http://203.0.113.127:8080/verify,phishing,generated synthetic sample
http://203.0.113.226/login/verify?id=36,phishing,generated synthetic sample
http://crescentuniversity.edu.ng@crescentuni-verify-37.tk/reset,phishing,generated synthetic sample
http://secure-crescent-verify.ml/account,phishing,generated synthetic sample
https://crescent-portal.work/docs/view?id=39,phishing,generated synthetic sample
http://login.secure.crescent-id.ga/verify,phishing,generated synthetic sample
